"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
400,400,"Slope","WCLS-Internal",5,4.863,1.767,1,1.648,1,1.773,0.96,0
400,400,"Slope","WCLS-Pooled",5,3.436,1.011,1.748,0.947,1.74,1.862,0.588,0
400,400,"Slope","P-WCLS-Internal",5,4.861,1.769,0.999,1.655,0.996,1.774,0.96,0
400,400,"Slope","P-WCLS-Pooled",5,4.919,1.35,1.309,1.289,1.278,1.353,0.958,0
400,400,"Slope","P-WCLS-Pooled-Obs",5,4.949,1.342,1.317,1.347,1.223,1.343,0.968,0
400,400,"Slope","ET-WCLS-Equal",5,5.131,3.907,0.452,2.94,0.561,3.909,0.925,1
400,400,"Slope","ET-WCLS-Kron",5,4.915,2.157,0.819,1.822,0.904,2.159,0.935,1
400,400,"Slope","ET-WCLS",5,5.021,1.515,1.167,1.403,1.175,1.515,0.932,1
400,400,"Slope","DR-WCLS",5,5.039,1.56,1.133,1.484,1.11,1.56,0.94,1
400,400,"Slope","PET-WCLS",5,5.14,1.148,1.539,1.094,1.506,1.157,0.938,1
1600,1600,"Intercept","WCLS-Internal",-2,-1.99,0.929,1,0.775,1,0.929,0.96,0
1600,1600,"Intercept","WCLS-Pooled",-2,-0.491,0.528,1.757,0.459,1.687,1.599,0.055,0
1600,1600,"Intercept","P-WCLS-Internal",-2,-1.996,0.903,1.029,0.776,0.998,0.903,0.958,0
1600,1600,"Intercept","P-WCLS-Pooled",-2,-2.023,0.746,1.245,0.641,1.21,0.746,0.943,0
1600,1600,"Intercept","P-WCLS-Pooled-Obs",-2,-2.026,0.728,1.276,0.645,1.201,0.728,0.948,0
1600,1600,"Intercept","ET-WCLS-Equal",-2,-2.793,7.917,0.117,2.462,0.315,7.957,0.892,2
1600,1600,"Intercept","ET-WCLS-Kron",-2,-2.127,0.988,0.939,0.84,0.922,0.997,0.935,2
1600,1600,"Intercept","ET-WCLS",-2,-2.18,0.774,1.199,0.707,1.095,0.795,0.932,2
1600,1600,"Intercept","DR-WCLS",-2,-2.159,0.789,1.177,0.734,1.055,0.805,0.938,2
1600,1600,"Intercept","PET-WCLS",-2,-2.112,0.597,1.556,0.578,1.34,0.607,0.935,2
1600,1600,"Slope","WCLS-Internal",5,5.048,1.106,1,0.859,1,1.107,0.945,0
1600,1600,"Slope","WCLS-Pooled",5,3.513,0.613,1.805,0.495,1.734,1.608,0.15,0
1600,1600,"Slope","P-WCLS-Internal",5,5.05,1.076,1.027,0.856,1.004,1.077,0.943,0
1600,1600,"Slope","P-WCLS-Pooled",5,5.048,0.739,1.496,0.674,1.274,0.741,0.945,0
1600,1600,"Slope","P-WCLS-Pooled-Obs",5,5.051,0.727,1.52,0.698,1.23,0.729,0.955,0
