"","WCLS-Internal","WCLS-Pooled","P-WCLS-Internal","P-WCLS-Pooled","P-WCLS-Pooled-Obs","ET-WCLS-Equal","ET-WCLS-Kron","ET-WCLS","DR-WCLS","PET-WCLS"
"Intercept","-1.876 (1.259)","-0.738 (0.751)","-1.814 (1.276)","-2.363 (0.98)","-2.441 (0.988)","-1.802 (1.514)","-1.826 (1.238)","-2.003 (1.11)","-2.164 (1.157)","-2.561 (0.964)"
"Slope","6.355 (1.379)","4.281 (0.794)","6.321 (1.385)","6.07 (0.994)","6.272 (1.037)","5.688 (1.682)","5.924 (1.365)","6.028 (1.22)","5.944 (1.286)","5.817 (0.959)"
